Timestamp,Tx_Packet,Rx_Packet,Dropped,BW_Utilization
2020-11-06 04:30:24,26,33,0,38560.58838788434
2020-11-06 04:31:21,28,31,0,38000.57984283208
2020-11-06 04:37:13,21,10,0,20836.0
2020-11-06 04:37:14,360,1,0,503692.0
2020-11-06 04:37:15,316,0,0,442116.0
2020-11-06 04:37:16,320,1,0,449020.0
2020-11-06 04:37:17,285,0,0,398512.0
2020-11-06 04:37:18,308,1,0,432184.0
2020-11-06 04:37:19,316,0,0,441893.99999999994
2020-11-06 04:37:20,316,1,0,442176.0
2020-11-06 04:37:21,334,1,0,468662.0
2020-11-06 04:37:22,316,0,0,441893.99999999994
2020-11-06 04:37:23,342,1,0,479885.99999999994
2020-11-06 04:37:24,322,1,0,450593.99999999994
2020-11-06 04:37:25,308,0,0,430670.0
2020-11-06 04:37:26,368,1,0,516364.00000000006
2020-11-06 04:37:27,291,0,0,406930.0
2020-11-06 04:37:28,318,1,0,446214.00000000006
2020-11-06 04:37:29,379,0,0,530394.0
2020-11-06 04:37:30,313,1,0,437634.0
2020-11-06 04:37:31,325,1,0,455924.0
2020-11-06 04:37:32,317,0,0,443408.0
2020-11-06 04:37:33,306,1,0,429156.00000000006
2020-11-06 04:37:35,331,1,0,463110.00000000006
2020-11-06 04:37:36,329,0,0,460243.99999999994
2020-11-06 04:37:37,301,1,0,422252.00000000006
2020-11-06 04:37:38,322,0,0,450534.0
2020-11-06 04:37:39,325,1,0,455924.0
2020-11-06 04:37:40,313,0,0,437574.0
2020-11-06 04:37:41,270,1,0,377638.0
2020-11-06 04:37:42,376,1,0,527588.0
2020-11-06 04:37:43,334,0,0,467147.99999999994
2020-11-06 04:37:44,312,3,0,435176.0
2020-11-06 04:37:45,373,3,0,522102.00000000006
2020-11-06 04:37:46,325,0,0,454410.00000000006
2020-11-06 04:37:47,193,1,0,270728.0
2020-11-06 04:37:49,304,3,0,423730.0
2020-11-06 04:37:50,344,1,0,482692.0
2020-11-06 04:37:51,314,0,0,439088.0
2020-11-06 04:37:52,496,1,0,695726.0
2020-11-06 04:37:53,526,1,0,736806.0
2020-11-06 04:37:54,304,0,0,425058.0
2020-11-06 04:37:55,343,1,0,481400.0
2020-11-06 04:37:56,317,0,0,443408.0
2020-11-06 04:37:57,281,1,0,392960.0
2020-11-06 04:37:59,343,1,0,481178.0
2020-11-06 04:38:00,303,0,0,423543.99999999994
2020-11-06 04:38:01,324,1,0,454410.00000000006
2020-11-06 04:38:02,306,0,0,427864.00000000006
2020-11-06 04:38:03,346,1,0,484043.99999999994
2020-11-06 04:38:04,323,1,0,453339.99999999994
2020-11-06 04:38:05,335,0,0,468439.99999999994
2020-11-06 04:38:06,367,1,0,514850.0
2020-11-06 04:38:07,330,0,0,461314.00000000006
2020-11-06 04:38:08,350,1,0,489656.00000000006
2020-11-06 04:38:09,334,1,0,468439.99999999994
2020-11-06 04:38:10,294,0,0,411028.0
2020-11-06 04:38:11,297,1,0,416862.0
2020-11-06 04:38:12,335,0,0,468662.0
2020-11-06 04:38:13,318,1,0,446214.00000000006
2020-11-06 04:38:14,327,1,0,457276.0
2020-11-06 04:38:15,311,0,0,434989.99999999994
2020-11-06 04:38:16,362,1,0,507946.0
2020-11-06 04:38:17,378,0,0,528658.0
2020-11-06 04:38:19,389,1,0,544262.0
2020-11-06 04:38:20,373,1,0,523268.0
2020-11-06 04:38:41,89,10,0,115014.00000000001
2020-11-06 04:38:42,333,0,0,465856.00000000006
2020-11-06 04:38:43,276,1,0,387288.0
2020-11-06 04:38:44,315,1,0,440662.0
2020-11-06 04:38:45,252,0,0,352102.0
2020-11-06 04:38:46,284,1,0,398512.0
2020-11-06 04:38:47,303,0,0,423766.0
2020-11-06 04:38:48,338,1,0,474274.0
2020-11-06 04:38:49,333,0,0,465856.00000000006
2020-11-06 04:38:50,290,1,0,406930.0
2020-11-06 04:38:51,328,0,0,458952.00000000006
2020-11-06 04:38:52,295,1,0,412602.00000000006
2020-11-06 04:38:53,291,1,0,408222.0
2020-11-06 04:38:55,305,0,0,426572.0
2020-11-06 04:38:56,328,1,0,460243.99999999994
2020-11-06 04:38:57,367,0,0,513780.0
2020-11-06 04:38:58,322,1,0,450372.0
2020-11-06 04:38:59,274,1,0,384926.0
2020-11-06 04:39:00,279,0,0,390094.0
2020-11-06 04:39:01,336,1,0,471689.99999999994
2020-11-06 04:39:02,379,0,0,530616.0
2020-11-06 04:39:03,351,1,0,491614.00000000006
2020-11-06 04:39:04,340,1,0,477080.0
2020-11-06 04:39:05,348,0,0,487012.0
2020-11-06 04:39:06,321,1,0,450534.0
2020-11-06 04:39:07,339,0,0,474718.0
2020-11-06 04:39:08,349,1,0,488364.00000000006
2020-11-06 04:39:09,334,1,0,468662.0
2020-11-06 04:39:10,328,0,0,458952.00000000006
2020-11-06 04:39:11,334,1,0,468884.0
2020-11-06 04:39:12,335,1,0,468500.0
2020-11-06 04:39:13,373,0,0,522197.99999999994
2020-11-06 04:39:15,348,2,0,487096.0
2020-11-06 04:39:16,80,3,0,109661.99999999999
2020-11-06 04:39:19,361,2,0,504196.0
2020-11-06 04:39:20,353,1,0,495652.00000000006
2020-11-06 04:39:21,600,1,0,840628.0000000001
2020-11-06 04:39:22,558,0,0,781642.0
2020-11-06 04:39:23,288,1,0,404124.0
2020-11-06 04:39:24,335,0,0,468662.0
2020-11-06 04:39:25,248,1,0,346550.0
2020-11-06 04:39:26,280,1,0,392900.0
2020-11-06 04:39:27,259,1,0,362624.0
2020-11-06 04:39:28,274,3,0,385662.0
2020-11-06 04:39:29,290,0,0,405638.0
2020-11-06 04:39:30,274,2,0,385072.0
2020-11-06 04:39:31,292,2,0,409402.0
2020-11-06 04:39:32,333,4,0,467360.00000000006
2020-11-06 04:39:33,319,5,0,449318.0
2020-11-06 04:39:34,367,2,0,514412.0
2020-11-06 04:39:35,317,2,0,443714.00000000006
2020-11-06 04:39:36,314,2,0,438162.0
2020-11-06 04:39:38,218,1,0,303192.0
2020-11-06 04:39:39,305,1,0,426854.0
2020-11-06 04:39:40,912,1,0,1280040.0
2020-11-06 04:39:41,1077,1,0,1630458.0
2020-11-06 04:39:42,1263,3,0,1792575.0
2020-11-06 04:39:42,888,8,0,1242087.0
