Throughput,Pkt/sec
168896.65785040453,285.1608308189567
317015.0155321186,535.4237579718
480058.09832049767,810.8226100495186
634539.1909042419,1071.5601470941695
726313.5460121582,1226.3375247895951
711463.5383399364,1201.1158419950198
835273.8795981257,1409.6123077611255
807491.0092002915,1356.3945089757128
829546.495554529,1393.3735197643316
884279.4187414403,1484.2052171760156
984571.0373782913,1579.3642800909088
855554.2197628084,1404.0743969747202
999489.1772358604,1614.6884568424784
979861.3662357262,1599.3565815048491
969603.0862084533,1562.6958245364067
936393.269912859,1535.1728003499725
920006.8628045222,1473.7692975270309
939356.9992726962,1542.6297483514165
