Throughput,Pkt/sec
1080938.484721786,182.2022501009637
2098252.0936243227,353.47912628442094
1113796.130250324,187.67747277649454
2139827.652567137,360.483095109019
1120050.0403087744,188.74150174163157
1031572.1329673919,368.148567892747
2014536.9181887684,736.3073531391698
2028505.9384052746,741.4129891832144
2016826.23619123,737.1440921751572
2017711.7173931021,737.4677329653151
2034378.2065664472,743.5592860257483
2020332.2932390126,738.4255457744929
2041297.2619541225,746.0881805387874
1194973.9816310264,381.046395293768
1110070.7444272449,405.9057210512831
2016531.9672037691,737.0365377206758
1161805.6970406917,424.80759859670246
1982604.8453814047,724.6362738967123
