Throughput,Pkt/sec
1694935.0059154702,270.5827769659998
3259068.0007061386,518.9595269629561
5312190.297875394,843.576665035129
3770318.169484723,508.61814546379003
2528070.249692484,205.6293342297731
2938835.970564162,238.9270967939935
3452174.551169882,280.2782697058114
3834610.1554222405,314.83006113567086
4082156.911964798,338.5401037180285
4623021.118701705,378.8326659814399
5288007.387880638,439.6346135607962
5568274.302696769,457.2995652793015
5753948.306291072,477.5867348145866
5866667.967866069,485.0685938066137
5935057.158302327,488.1873177230624
6696246.174848312,557.4724332501173
6138231.2535862,503.5619119320746
