Throughput,Pkt/sec
2332256.624837179,274.27230034296116
4617943.725963628,534.9426300116867
6814753.861498029,778.1420771407783
9128171.343143756,1029.8219073955897
11665275.432684766,1169.6302293112608
13023834.296742937,1206.98486660724
15239212.69846762,1360.7245019773654
17122006.027324155,1427.224134207204
16853927.219737727,1403.7428492680717
19039089.62261977,1577.2145652765755
19086956.26571147,1580.857588218403
17195869.2545092,1423.89332376788
20350759.157176316,1682.9803872174998
20045933.943901714,1660.2528913497072
19621733.91017252,1623.5876714828496
19370149.784443043,1602.1199532092849
18542140.51158144,1533.8045711801306
19443850.12567934,1607.595762342248
