Throughput,Pkt/sec
226875.9240044806,377.96088586343245
399770.5681015124,666.4230597004039
381288.0865034821,635.3682803832219
417715.8346191454,686.8111707488649
403699.2118001995,650.6073780355359
422405.6979509795,688.6751925025732
440348.63632468996,682.6822994068843
450848.1191858955,709.9924065202147
411985.88813513535,677.2554801028743
402067.4607111578,648.0717735035113
429358.7394221962,674.170808360375
417412.1264782199,678.0793241545366
430286.6393592727,694.1404245754302
393031.2663455967,626.4056829406195
423937.56237282493,672.3930772312572
418746.06300915196,674.9968027766812
378116.3506666984,621.8199634126311
