Timestamp,Tx_Packet,Rx_Packet,Dropped,BW_Utilization
2021-03-13 13:28:25,26,30,1,3580.0
2021-03-13 13:28:26,9,7,0,1380.0
2021-03-13 13:30:55,11,9,0,5712.0
2021-03-13 13:30:56,98,98,0,151548.0
2021-03-13 13:30:57,102,100,0,159176.0
2021-03-13 13:30:58,101,99,0,156144.0
2021-03-13 13:30:59,96,98,0,152872.0
2021-03-13 13:31:01,101,89,0,148264.0
2021-03-13 13:31:02,108,92,0,157600.0
2021-03-13 13:31:03,109,89,0,154568.0
2021-03-13 13:31:04,94,103,0,154510.0
2021-03-13 13:31:05,113,131,0,192270.0
2021-03-13 13:31:06,48,73,0,91752.0
2021-03-13 13:31:13,70,52,0,84644.0
2021-03-13 13:31:14,212,198,0,321626.0
2021-03-13 13:31:16,157,146,0,239488.0
2021-03-13 13:31:17,158,127,0,223854.0
2021-03-13 13:31:18,173,164,0,264826.0
2021-03-13 13:31:20,156,123,0,219126.0
2021-03-13 13:31:21,175,164,0,264950.0
2021-03-13 13:31:22,168,144,0,247308.0
2021-03-13 13:31:24,185,182,0,287014.0
2021-03-13 13:31:25,168,140,0,242704.0
2021-03-13 13:31:25,188,171,0,280710.0
2021-03-13 13:31:26,101,164,0,206678.0
2021-03-13 13:31:26,2,137,0,104491.0
2021-03-13 13:31:33,174,149,0,250941.0
2021-03-13 13:31:34,208,152,0,282224.0
2021-03-13 13:31:36,190,172,0,285256.0
2021-03-13 13:31:38,206,154,0,282224.0
2021-03-13 13:31:39,187,170,0,282042.0
2021-03-13 13:31:40,221,171,0,307440.0
2021-03-13 13:31:41,160,135,0,233186.0
2021-03-13 13:31:42,214,173,0,301322.0
2021-03-13 13:31:43,202,163,0,283990.0
2021-03-13 13:31:44,205,166,0,287262.0
2021-03-13 13:31:45,175,148,0,253798.0
2021-03-13 13:31:45,162,166,0,252679.0
2021-03-13 13:31:46,2,199,0,153324.0
2021-03-13 13:31:46,5,162,0,128003.0
2021-03-13 13:31:47,9,43,0,20686.0
2021-03-13 13:31:52,175,116,0,219998.0
2021-03-13 13:31:54,194,167,0,282286.0
2021-03-13 13:31:56,203,141,0,271072.0
2021-03-13 13:31:57,228,172,0,312292.0
2021-03-13 13:31:58,196,170,0,288408.0
2021-03-13 13:32:00,209,172,0,298046.0
2021-03-13 13:32:00,203,142,0,272586.0
2021-03-13 13:32:01,214,163,0,291990.0
2021-03-13 13:32:02,201,157,0,282104.0
2021-03-13 13:32:03,208,160,0,284172.0
2021-03-13 13:32:04,225,156,0,296598.0
2021-03-13 13:32:05,195,193,0,301393.0
2021-03-13 13:32:05,3,158,0,124717.0
2021-03-13 13:32:06,4,177,0,136127.0
2021-03-13 13:32:07,4,199,0,156374.0
