Throughput,Pkt/sec
1083394.864130436,182.63401621169
2141213.5791141842,360.71657330090704
1115377.2882683394,187.9663212468039
2176964.3881334467,366.73928371520327
1116417.8666663747,188.10269780667716
1000940.9156691968,365.9670234863857
2018695.690475295,737.8273722497423
2045794.3635241135,747.7318580131994
2027460.9043927735,741.0310323073002
1970051.4394663165,720.0480407406127
2033710.3470534426,743.3151853265506
2009642.2168195427,734.51835410071
2028724.8078784368,741.492985335686
1374927.0429675868,396.13802601953364
1108160.8908239338,405.20770910609457
1992957.960964933,728.4203073702241
1173806.8966445173,429.1954517730102
1984789.915547897,725.4349106534712
